Index_Entry,Formal_Full_Name,Normalization_Category
A.M. Zanetti the Elder with Gerini,,
Abigail giving Presents to David,,
Academy at Parma,,
Accademia dei Cacadubbi,,
Accbremia Albrizziana,,Person (Reclassified)
Achille Bosisio,,Work
Aedes Barberina ad Quirinalem,,Place
Albergo del Moretto,,Place
Alessandro Vasalli,,Place
Alfredo Bardella,,Person
Alice Binion,,Work
Allegory of Clemency,,Place
Allegory of Coral fishing,,Person
Allegory of the Education of the Crown of the Palatinate,,Person
Altar Paintings for the Parish Church of San Canciano,,Person
Altar of Friendship,,Work
Altar of Friendship,,Work
Altar of Tranquility and Rural Life,,Person (Reclassified)
Altar of Wealth and Apollo,,Work
Altarpiece for Chiesa Nuova,,Work
Altarpiece for Santa Maria dei Cappuccini,,Place
Altarpiece for Saint Sebastian,,Work
Altarpiece for the Augustinian Church,,Work
Altarpieces for the Royal Chapel,,Work
Andromache weeping before Aeneas,,Work
Angelica Gri¨¨,,Work
Angels carrying the Instruments of the Passion and of Saint Philip in Ecstasy,,Work
Animals and Figures in the Flemish Style|des animaux et figures ¨¤ la flamande,,Work
Annamaria Gabrielli,,Work
Annan Gallery,,Person
Antichiesetta,,Work
Antichita di Palazzi,,Work
Anton Francesco Goli,,Person
Antonio Paluello,,Place
Antonio Pitteri,,Place
Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,,Work
Apostolic Chamber of Commerc,,Person
Apotheosis of the Pisani,,Person
Arch. del Gov. di Roma,,Person
Archivio Comunale di Treviso,,Work
Archivio Mediceo,,Place
Archivio Storico per la Province Napoletane,,Work
Archiviodella Compagnia di Ges¨´,,Place
Ariadne being woken by Love,,Place
Arnaldi Lodovico,,Place
Art Institute of Chicago Robert A. Waller Fund,,Place
"Arts Graphiques de la Cit¨¦,Agraci",,Place
Augustinian Monastery Altarpiece,,Work
Barberini Chapel in San Andrea della Valle,,Person
Barberini Chapelin SanAndreadella Valle),,Place
Barberini library,,Place
Basilica of Santa Cecilia in Bologna,,Work
Batlisheba Bathing,,Work
Battaria di Cusina,,Work
Battistela,,Place
Beatae Mariae Virginis Officium,,Place
Beggar holding a Rosary,,Work
Bell Towers for Saint Peter's Basilica (demolished),,Work
Bensburg Castle,,Place
Bergamasque community,,Work
Biblioceca Estense,,Work
Biblioteca Correr,,Work
Biblioteca Govemadva,,Place
Harold von Hocheim being invested with the princedom by the Emperor in 1163,,Place
Boyle/Locke/Sydenham,,Place
Brutus killing Arruns,,Place
Bust of Francis Bacon,,Place
Bust of Paolo Renier,,Person (Reclassified)
Bust of Phocion,,Work
Caesar and the Corsairs of Cilicia,,Work
Caiano Ferdinand,,Work
Calabrian national church,,Work
Caprizi Copiosi di Figure,,Work
Capuchin church in Rome,,Work
Mazarin in His Gallery,,Person
Caricature of Cassiano dal Pozzo,,Place
Carlo Baccinelli,,Work
Carlo Grimaldo,,Place
Carlo Quarismini,,Person (Reclassified)
Carro Della Notte,,Work
Casa Soster,,Person
Castel Cogolo,,Person
Castello Sfarzesco,,Person
Castle of Cogolo,,Work
Cathedral of Rome,,Place
Cattedrale Chiesa di Parenzo,,Place
Dello speron d'oro,,Place
Ceiling Frescoes in Palazzo Altieri,,Work
Ceiling Frescoes in the Quirinal Palace Gallery,,Place
Ceiling Paintings at Hampton Court,,Place
Ceiling fresco of the Augustinian Church,,Person (Reclassified)
Ceiling of Palazzo Doria-Pamphili,,Work
Ceremonies of the Grand,,Place (Reclassified)
Chapel of Saint Stanislaus Kostka,,Work
Charles Fran ois de Saint Saulieu,,Work
Chiesa de' Servi,,Work
Christ and St Veronica,,Person (Reclassified)
Christ driving the Jews from the Temple,,Place
Christ in the Boat calming His Disciples,,Person
Church Great WitleyWatson,,Place
Church of Santa Maria Rotonda,,Work
Church of the Apostoli,,Work
Cincinnatus summoned from the Plough,,Work
Coggio Pittoni,,Place
Coggioh Pittoni,,Place
Collegio di Siena,,Place
Consiglio del Consorzio,,Work
Conte Carpegna,,Person
Conte Tassis,,Person
Copy of Annibale Carracci's Works,,Place
Copy of Raphael's Loggias,,Place
Correr Library,,Person
Corti Guido,,Person
The Imperial ambassador of Bolagno,,Work
Couvent des Augustins D¨¦chauss¨¦s,,Work
Creusa imploring Aeneas to rescue his father Anchises from the fire of Troy,,Place
Dance of Nymphs,,Person
Death of Saint Francis Xavier,,Person (Reclassified)
Decorations for Saint Augustine Church,,Place
Decorative Paintings for Pisa Residence,,Work
Dedicatory Frontispiece to Etchings,,Work
Della Lena,,Work
Design for Sant'Andrea al Quirinale,,Work
Design for Saint Peter's Square,,Work
Didwich,,Work
Directors of Chatto & Windus,,Person
"Divine Virtues, Faith, Hope, Charity and Wisdom",,Work
Dome Frescoes of Sant'Agnese in Agone,,Work
Domenico Darmanno,,Place
Domenico da Isnello,,Place
Cesare Leopardi d`Osimo,,Work
Giovanni Domenico Brustoloni,,Work
Drawings of Sagredo Family Members,,Person
Dream of St Joseph,,Person
Duplex Intercessio,,Person
Edgar de Vaes,,Person
Edgwareand,,Work
Edoardo Lombardo,,Work
Elena Crin¨°,,Work
Eleonora Zambeccari,,Person
Elijah carried to Heaven in a Chariot of Fire,,Place
Elizabetta Antoniazzi Rossi,,Person
Emile Baudson,,Person
Enrico Brol,,Person
The Imperial ambassador Entry of the of Colloredo,,Work
Estella Brunetti,,Person
Etchings of Oriental-style Heads,,Person
European scientific societies,,Person
Fabio de Fabiis,,Person (Reclassified)
Fabrizio Tarso,,Person
Facade of San Maria del Giglio,,Work
Faith crushing Idolatry,,Place
Fame Carrying the Name of Louis XIV to the Temple of Immortality,,Person
Fame inscribing the glories of Louis XIV on the shoulders of Time,,Person
Family Chapels in Santa Maria Maggiore,,Work
Family of Darius before Alexander the Great,,Work
Fantastical Heads in the Manner of Giorgione,,Work
Federico Correr Lorenzetti,,Work
Flight of Aeneas from Troy,,Place
Fondamenta Foscarini,,Work
Fondo di Ges¨´,,Work
Fortune under the control of Virtue,,Person
"Fortune under the control of Virtue, Justice and Peace",,Work
Francesco Drach,,Place
Francesco Griseri,,Place
Francesco Panciatichi,,Work
Francesco Scaramuccia,,Work
Palazzo Fresco on staircase of Hampton Court,,Person
Frescoes in Lanfranco Cathedral,,Person
Frescoes in Palazzo Barberini Salone,,Person
Frescoes in Sant'Andrea della Valle,,Person
Frescoes in the Corsini Chapel,,Place (Reclassified)
Frescoes in the Palace at Valmontone,,Work
Fulvio Miari,,Work
G.M. Sasso,,Work
Galleria Giustiniani,,Work
Galleria L'Antonina,,Place (Reclassified)
Gallerie di Firenze,,Person
Gallery of the Aeneid,,Work
Gaspare Partridge,,Place
Gerald Burden,,Place
Gerolamo Nappi,,Place
Gio. Gasparo Baldoini,,Place
Giorgio Casini,,Person
Giovanni Antonio Armanni,,Person
Giovanni Battista Fontanella,,Person
Girl with a Basket of Chickens,,Person
Giuho Pisano,,Person
Giulio della Greca,,Person
Giuseppe Antonio Lotti,,Person
Giuseppe Fochessati,,Work
Giuseppe Lorenzo Moncallero,,Person
Giuseppe Toninotto,,Person
Gloria Chiarini de Anna,,Person
Glorification of the Pisani family,,Person
Glory of Venice,,Person
God creating the Angels and Parnassus with Apollo and the Muses,,Person
Gordon Albion,,Person
Gran Tempio Antico,,Work
Grand Ferdinando of Tuscany,,Work
Guglielmo Bauer,,Work
Guidalocti Franchini,,Person
Gypsy Woman with Soldiers,,Work
Hebrew Women singing after crossing the Red Sea,,Person (Reclassified)
Heroes approaching the Temple of Immortality,,Person
Hilda Finberg,,Person
Historic e di Maniera Veneziana,,Work
Illustrations for De Bello Belgico,,Work
