QID,统一英文全名,P31|标签|实例英文
A234,The Ecstasy of St Margaret,
A235,The Exodus,
A236,The Fall of Manna,
A237,The Fall of Phaethon,
A238,The Fall of the Giants,
A239,The Finding of Moses,
A240,The Flagellation,
A241,The forge of Vulcan,
A242,The Four Continents paying homage to Karl Philip von Greiffenklau,
A243,The Four Elements,
A244,The Glory of St Dominic,
A245,The Glory of St. Luigi Gonzaga,
A246,The Infant Jupiter handed over by Cybele to the Corybantes to befed,
A247,The Judgement of Paris,
A248,The Justice of Solomon,
A249,The Killing of Sisera,
A250,The Last Judgement,
A251,The Levites,
A252,The Life of Cato,
A253,The Life of Constantine,
A254,The Life of St. Ursula,
A255,The Marriage of Peleus,
A256,The Martyrdom of St. Andrew,
A257,The Massacre of the Innocents,
A258,The Nativity,
A259,The Nativity,
A260,The Nativity,
A261,The Painter's Family,
A262,The Parlor,
A263,The Pool of Bethesda,
A264,The Punishment of the Prophet Ananias,
A265,The Rape of Ganymede,
A266,The Rape of the Sabine Women,
A267,The Revolt of Masaniello,
A268,The Road to Calvary,
A269,The Sacrifice of Isaac,
A270,The Sacrifice of Polyxena,
A271,The stoning of Zechariah,
A272,The Three Angels visiting Abraham,
A273,The Three Graces,
A274,The Visitation,
A275,"The War between the Romans and the Sabines, and Coriolanus and his Mother",
A276,The Woman taken in Adultery,
A277,Third Colonnade for St. Peter's Square (unfinished),
A278,"Three Dominican Saints: Vincent, Hyacinth and Lawrence",
A279,Tiepolo's Etchings,
A280,Titus,
A281,Tre Animali,
A282,Triumph of the Arts,
A283,Triumph of the Faith,
A284,Two Baskets of Fruit and Flowers,
A285,Un trionfo d'armi,
A286,una favola d'Enea,
A287,Vanita,
A288,Varj Capriccj,
A289,Venus and Adonis,
A290,Venus and Adonis,
A291,Venus Leaving the Bath,
A292,Venus Mourning over the Death of Adonis,
A293,Venus playing with Cupid,
A294,View of the Grand Canal,
A295,Vigilance,
A296,Vigilie di S. Pietro,
A297,Village Scene,
A298,Vincenzo Giustiniani,
A299,Virgin and Child holding Rosaries with Saints Catherine and Dominic,
A300,Virgin protecting the city of Spoleto,
A301,Women washing their Laundry at a Fountain,
A302,Youth rescued from the Pleasures of Venus,
A303,Zaccaria Sagredo,
A308,,
A309,Madonna,
A310,Madonna and Child,
